scenario,day_key,day,case,axis,variation,vre_share,vre_scale_factor,vre_share_annual,vre_share_day,vpl_mwh,vpl_mode,dc_flex,window_scale,reserve_from_flex,load_mwh,solver,mip_gap,time_milp_s,time_lp_s,objective_milp,cost_total,cost_fuel,cost_startup,cost_shutdown,cost_curtail_penalty,cost_migration,cost_degradation,cost_other,vre_available_mwh,vre_dispatched_mwh,curtailment_mwh,curtailment_pct,startups_total,startups_coal,startups_ng,startups_nuclear,startups_oil,frus_mean_mw,frds_mean_mw,frus_system_mean_mw,frds_system_mean_mw,pmin_mwh,pmin_unit_hours,online_unit_hours,corridor_limit_mw,corridor_flow_mean_mw,corridor_flow_max_mw,corridor_congested_hours,corridor_utilization,lmp_up_mean,lmp_down_mean,lmp_spread_mean,lmp_spread_max,lmp_spread_congested_mean,vpl_virtual_capacity_mw,vpl_virtual_mwh,vpl_cycles_up,vpl_cycles_down,vpl_throughput_mwh,vpl_hours_vtl,vpl_hours_arbitrage,vdc_energy_it_mwh,vdc_energy_elec_mwh,vdc_spatial_shift_mwh,vdc_spatial_shift_pct,vdc_temporal_shift_mwh,vdc_temporal_shift_pct,vdc_mean_delay_h,vdc_completion_min,vdc_site_cap_violation_mw,co2_t,co2_t_coal,co2_t_ng,co2_t_nuclear,co2_t_oil,gen_mwh_csp,gen_mwh_coal,gen_mwh_gas_cc,gen_mwh_gas_ct,gen_mwh_hydro,gen_mwh_nuclear,gen_mwh_oil_ct,gen_mwh_oil_st,gen_mwh_solar_pv,gen_mwh_solar_rtpv,gen_mwh_wind
solar_ramp__D__soc50,solar_ramp,2020-01-14,D,soc_initial,soc50,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0002734044403839,9.6,1.3,1302600.0324964577,1302600.032496453,1127578.759949897,168331.833132,0.0,-6518.515597396283,9383.861057329575,3824.0939546269647,-4.190951585769653e-09,93416.61376822488,65185.15597396283,28231.45779426205,30.221024564545736,7.0,0.0,6.0,0.0,1.0,60.5459100445157,34.93590813730249,1054.507933275315,608.467066724685,21852.0,259,418,500.0,359.63863978599875,500.0,12,0.7374508254830708,11.913405497554402,21.12313017035011,9.209724672795708,26.21352098483596,18.372081269768056,44.89848152430962,538.7817782917155,0.9571837649106236,1.432874956731229,1912.0469773134823,,,3181.266655479624,4135.646652123511,546.2277504525011,17.170134088308583,1736.7172221431304,54.59200407333646,3.50939657973294,1.0,0.0,35822.152886861426,30781.419752127684,5028.074942370224,0.0,12.65819236352,1650.162419219659,30605.377030665262,13459.832570727178,0.0,2581.6,9560.0,16.0,0.0,9210.226131756524,4788.08715000822,49536.680272978425
solar_ramp__D__vpl100,solar_ramp,2020-01-14,D,vpl_size,vpl100,0.5,1.2511,0.5,0.8518,400.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0001276033852378,8.4,1.3,1331692.9572643142,1331692.957264311,1156283.8773253346,168694.062132,0.0,-6428.349630467055,11150.61027363592,1992.7571638104205,-3.026798367500305e-09,93416.61376822488,64283.49630467055,29133.11746355434,31.18622725486096,14.0,0.0,6.0,0.0,8.0,58.766931571975874,32.143245419174576,1106.7772112722123,605.3644553944545,22726.0,289,452,500.0,332.7556657345229,500.0,11,0.7259372241164725,13.443816263773533,20.475614789069144,7.031798525295613,25.379142825726788,15.734920185329448,14.862385009069504,163.48623509976454,1.171954445729289,1.3189920090337366,996.3785819052102,,,3181.266655479625,4135.6466521235125,629.5897250771102,19.79053607444893,1705.5737056030173,53.61303814834962,3.422717583066739,1.0,0.0,36521.58463467506,31345.5603522703,5072.487735358365,0.0,103.5365470464,1650.162419219659,31067.872600286533,13630.874329180377,0.0,2581.6,9560.0,128.0,0.0,9270.058573682038,5310.22266600136,48053.052645767486
solar_ramp__D__vpl100_f02,solar_ramp,2020-01-14,D,vpl_x_fd,vpl100_f02,0.5,1.2511,0.5,0.8518,400.0,emergent,0.2,1.0,False,121186.075339,gurobi,0.0002882832800836,10.3,1.4,1374480.3808634875,1374480.3808634842,1180602.4966004686,196378.514154,0.0,-6504.752939742342,2163.385388116771,1840.7376606435785,-2.561137080192566e-09,93416.61376822488,65047.52939742342,28369.084370801465,30.368350153633006,8.0,0.0,7.0,0.0,1.0,61.28798651246074,35.99589974346344,1077.6470961774346,632.9279038225654,21972.0,252,422,500.0,333.86847005709683,500.0,12,0.7697249487552029,21.46319298437865,24.882915136103104,3.4197221517244443,23.947699603928868,6.891634910828535,12.51238001484063,150.14856017808756,1.166467630075184,1.1344544457292889,920.3688303217892,,,1272.5066634316588,1654.2586624611563,150.45639939289669,11.82362369617384,697.5088770905228,54.81377010706578,3.507011403959189,1.0,0.0,36693.59552152567,30985.61242351532,5695.324905646829,0.0,12.65819236352,1231.6172365292812,30691.896460197186,15164.373231544389,0.0,2581.6,9564.0,16.0,0.0,9701.335927922526,4633.604115343924,49480.97211762769
solar_ramp__D__vpl100_f08,solar_ramp,2020-01-14,D,vpl_x_fd,vpl100_f08,0.5,1.2511,0.5,0.8518,400.0,emergent,0.8,1.0,False,112546.075339,gurobi,0.0003439333736828,8.6,1.4,1291089.752862889,1291089.7528628872,1113259.3784756584,168280.086132,0.0,-6382.780640430725,14087.941782494818,1845.1271131668625,-2.0954757928848267e-09,93416.61376822488,63827.80640430724,29588.807363917644,31.67403117108288,6.0,0.0,6.0,0.0,0.0,62.729613934579625,30.86670790450084,1136.9742525642555,559.4590807690778,23604.0,283,435,500.0,332.69081552451183,500.0,13,0.8122643432075453,11.737426951577325,18.829525763137624,7.092098811560302,26.910820057421084,13.436975640418686,8.33479616205199,108.35235010667589,1.171954445729289,1.1344544457292889,922.5635565834313,,,5090.026646999983,6617.034641099979,837.5668811517801,16.455058867824093,2852.818151779151,56.04721447697286,3.60319321156985,1.0,0.0,35536.68469259492,30636.69652198772,4899.988170607198,0.0,0.0,1474.8375617984125,30345.797679268504,13081.220259189362,0.0,2581.6,9560.0,0.0,0.0,8744.03036088945,5172.908346365923,48436.03013525345
solar_ramp__D__vpl400,solar_ramp,2020-01-14,D,vpl_size,vpl400,0.5,1.2511,0.5,0.8518,1600.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0001111146472777,10.7,1.3,1219007.5128771055,1219007.512877104,1091918.0302001974,124034.662944,0.0,-6679.973129276552,3054.962431438721,6679.830430746495,-2.0954757928848267e-09,93416.61376822488,66799.73129276551,26616.882475459373,28.49266463618376,16.0,0.0,6.0,0.0,10.0,53.69572476402079,33.119935191236486,1000.0828737298872,616.8587929367795,19720.0,278,447,500.0,333.68071703284863,500.0,10,0.7674257765477764,25.68775595239957,26.67322241830583,0.9854664659062592,7.796594452633613,2.891312417342817,34.0,340.0,0.9529925638789908,1.1344544457292889,3339.9152153732475,,,3181.266655479623,4135.64665212351,255.90036542499016,8.043977231025591,1725.2025440662142,54.23005145119199,3.4165548934238785,1.0,1.4210854715202004e-14,36434.96312179234,32499.38365154694,3831.210346011156,0.0,104.36912423424,1650.162419219659,32202.11744282873,10197.407598263271,154.0,2581.6,9567.0859893907,128.0,0.0,11283.262648124664,6159.187327343883,47707.1188980773
solar_ramp__D__vpl400_f02,solar_ramp,2020-01-14,D,vpl_x_fd,vpl400_f02,0.5,1.2511,0.5,0.8518,1600.0,emergent,0.2,1.0,False,121186.075339,gurobi,0.0002078473714174,11.2,1.4,1263792.8878476962,1263792.8878421397,1122511.144238903,140440.39311,0.0,-6716.845867238858,1002.8387610267724,6555.357599452591,-3.725290298461914e-09,93416.61376822488,67168.45867238856,26248.15509583632,28.09795178506512,9.0,0.0,5.0,0.0,4.0,56.32095887818128,34.71565439412994,1025.5107929068838,632.114207093116,20260.0,262,437,500.0,320.6004942764332,500.0,9,0.7578495798708312,27.969242055598205,26.561318022156183,-1.4079240334420184,23.64462005653252,0.2563744107458217,37.77777777777778,340.0,0.9140948040996456,1.1344544457292889,3277.6787997262954,,,1272.5066634316595,1654.2586624611577,105.28476812703605,8.273808786439442,699.7378471654571,54.98893383225389,3.4619922959402865,1.0,0.0,36964.78264416121,32564.521588235053,4361.633596654483,0.0,38.62745927168,1650.162419219659,32274.53803110055,11821.116949743531,0.0,2581.6,9567.0859893907,48.0,0.0,11267.001018618792,6267.810395672877,47983.48483887724
solar_ramp__D__vpl400_f08,solar_ramp,2020-01-14,D,vpl_x_fd,vpl400_f08,0.5,1.2511,0.5,0.8518,1600.0,emergent,0.8,1.0,False,112546.075339,gurobi,0.0003084721482765,8.6,1.6,1174613.804382147,1174613.804382149,1050669.0929956776,112652.447088,0.0,-6647.163407891508,11246.29703754436,6693.130668816852,1.3969838619232178e-09,93416.61376822488,66471.63407891507,26944.979689309814,28.8438839756735,13.0,0.0,4.0,0.0,9.0,57.5127469603256,31.402993780415137,1035.2294452858607,565.2538880474725,22230.0,281,432,500.0,322.90883498132865,500.0,11,0.772676852166284,15.733294979364928,20.950237740067376,5.216942760702447,18.93970776560141,11.827555226172874,30.90909090909091,340.0,0.957148888275977,1.1344544457292889,3346.5653344084258,,,5090.026646999984,6617.03464109998,708.1060958888825,13.911638287910217,2780.433753618729,54.62513158467434,3.5086733513406028,1.0,0.0,35301.69510018726,31628.24193016692,3608.065379392493,0.0,65.38779062784,1650.162419219659,31334.915429395525,9784.677481656723,0.0,2581.6,9548.500402087093,80.0,0.0,11409.443292908683,6147.921725289827,47264.1066414969
solar_ramp__D__vpl650,solar_ramp,2020-01-14,D,vpl_size,vpl650,0.5,1.2511,0.5,0.8518,2600.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0003712202057049,8.7,1.4,1157158.216754618,1157158.2167546165,1097215.0375410449,56093.362044,0.0,-6612.708632147924,620.4308639827475,9842.09493773892,-2.3283064365386963e-09,93416.61376822488,66127.08632147923,27289.527446745647,29.2127131844593,2.0,0.0,2.0,0.0,0.0,61.72370792671279,30.50151331222526,1162.4631659530908,574.4451673802423,23062.0,288,452,500.0,325.77680151853275,500.0,9,0.7590058356529161,25.71694568464517,24.278931235761945,-1.438014448883231,5.188856738343667,-1.4082898701533624,13.628416936108536,122.65575242497682,0.9235808298262812,0.9691297351235107,4921.047468869459,,,3181.266655479623,4135.646652123511,74.42379348296367,2.339439020453417,1702.7595098141294,53.524576661349165,3.3934532286743098,1.0,0.0,37991.93257319674,34491.80200752907,3500.1305656676727,0.0,0.0,1650.162419219659,34068.568922620114,9558.115094505703,0.0,2581.6,9568.0,0.0,0.0,10798.265071816144,6281.393841107358,47397.26498933607
solar_ramp__D__vre30,solar_ramp,2020-01-14,D,vre_share,vre30,0.3,0.7506,0.3,0.5111,800.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0001634102389396,6.7,1.3,1547378.1241436077,1547378.1241436012,1462263.1535309984,84295.284066,0.0,-5172.6526428961615,2439.389632753951,3552.949556752189,-7.217749953269958e-09,56049.96826093493,51726.5264289616,4323.441831973325,7.713549117184118,6.0,0.0,3.0,0.0,3.0,64.70461282462776,36.21750067830767,1377.6690480576992,771.1309519423007,24776.0,295,511,500.0,325.3304904435586,500.0,10,0.6946988702113513,25.598471253323424,25.519153992180303,-0.0793172611431216,4.569473424621712,1.5016300316347886,17.0,170.0,1.0861390272408291,1.1344544457292889,1776.4747783760945,,,3181.266655479623,4135.64665212351,220.81049299576063,6.940961475688374,1720.824931754623,54.09244549778816,3.4287749656639144,1.0,1.4210854715202004e-14,44623.85748082968,36843.53294783308,7754.946314608126,0.0,25.37821838848,990.0974515317952,36399.630419778,21021.512426837213,0.0,2581.6,9596.0,32.0,0.0,8019.228994056268,3967.8211668323847,38749.37881654116
solar_ramp__D__vre70,solar_ramp,2020-01-14,D,vre_share,vre70,0.7,1.7515,0.7,1.1926,800.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0,8.2,1.4,1182997.4517019656,1182997.4517366444,1036464.1642963073,140336.89911,0.0,-6891.57121511799,9797.705319120889,3290.2542263337245,6.984919309616089e-10,130783.2592755148,68915.71215117989,61867.54712433492,47.3054024399266,7.0,0.0,5.0,0.0,2.0,63.67787232552576,27.913676970248883,1130.2822337780824,495.46776622191766,25168.0,291,426,500.0,356.8307485809177,500.0,12,0.7899118181229812,12.620470592632117,20.32092071463389,7.700450122001773,25.22802489933452,15.730697409600172,14.16666666666667,170.00000000000003,0.921954445729289,1.1344544457292889,1645.1271131668625,,,3181.266655479623,4135.64665212351,562.4466147308508,17.679958194075173,1776.5863823569732,55.845252056971205,3.5223690708444404,1.0,1.4210854715202004e-14,33899.92956410063,29833.676513319195,4040.936666054397,0.0,25.31638472704,1867.8904042076388,29558.37049578856,10750.855893537464,0.0,2581.6,9536.0,32.0,0.0,10748.016020838855,3246.777469791188,53053.02825634221
solar_ramp__D__w05,solar_ramp,2020-01-14,D,window_scale,w05,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,0.5,False,116866.075339,gurobi,0.0004873457706442,7.4,1.3,1285149.7152826237,1285149.7152826192,1112379.7411686524,168331.833132,0.0,-6420.442445388642,7443.972917162209,3414.610510196638,-3.259629011154175e-09,93416.61376822488,64204.42445388642,29212.189314338462,31.270871567681283,7.0,0.0,6.0,0.0,1.0,61.82009549073406,33.78663527849671,1071.5483218393904,585.6350114939429,22164.0,260,416,500.0,371.2990443177234,500.0,15,0.7628124963026601,12.049644140168835,20.595243967829933,8.545599827661102,26.99036696470588,13.6447804243853,19.624147473190423,294.36221209785634,0.992181940350904,1.141949628521995,1707.305255098319,,,1962.3666912806664,2551.076698664867,412.1488672399496,21.00264283282223,1048.6551547451832,53.43828752315485,2.02465836020143,1.0,1.4210854715202004e-14,35278.02671100204,30299.220799080907,4966.147719557604,0.0,12.65819236352,1207.811174145377,30131.164029548752,13294.07624630588,0.0,2581.6,9560.0,16.0,0.0,9285.7053799714,4813.704271135774,48897.20362863387
solar_ramp__D__w20,solar_ramp,2020-01-14,D,window_scale,w20,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,2.0,False,116866.075339,gurobi,0.0,7.6,1.4,1279569.050034283,1279569.0500342806,1107071.9150851483,168280.086132,0.0,-6595.7655421286645,7418.648419165347,3394.1659400977333,-2.3283064365386963e-09,93416.61376822488,65957.65542128665,27458.95834693824,29.394084455968848,6.0,0.0,6.0,0.0,0.0,62.88337695163671,33.119996542339194,1087.3583931220514,572.6999402112818,22092.0,259,415,500.0,351.53200282196366,500.0,12,0.7892408297162723,11.060452268708168,19.30962291137244,8.249170642664275,26.91082005742101,16.442835763381208,24.53018434148842,294.36221209786106,0.9868992668317944,1.1344544457292889,1697.0829700488666,,,3114.74606764386,4049.1698879370174,428.24166309081727,13.748846737119708,1752.007537860979,56.24880808297415,4.254228539967913,1.0,0.0,35133.94152861157,30180.054970472385,4953.886558139184,0.0,0.0,1614.8195533547014,30005.96647694362,13166.832088127148,0.0,2581.6,9564.0,0.0,0.0,9605.633962171312,5255.487950986308,49481.71395477432
spring_wind__A__base,spring_wind,2020-03-12,A,base,base,0.5,1.2511,0.5,1.1455,800.0,emergent,0.5,1.0,False,111807.97379718351,gurobi,0.0004998322520122,17.5,2.2,684722.4549370721,684722.4553305532,635606.5698634669,56352.097044,0.0,-7236.211576914097,0.0,0.0,3.4924596548080444e-10,115087.28689521314,72362.11576914099,42725.17112607216,37.12414488054914,7.0,0.0,2.0,0.0,5.0,58.52736013506579,20.262481134775484,768.1716017727385,265.9450648939282,19094.0,228,315,500.0,455.7194731495812,500.0,11,0.9114389462991624,8.779577934494903,14.015914361491523,5.236336426996619,23.01464486261849,12.169803059440744,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,21121.655756146945,19424.55586582132,1639.6648375153825,0.0,57.43505281024,2190.374801796648,19646.901227868617,4241.780329585659,0.0,6037.0,9532.0,72.0,0.0,12918.272606256967,5876.739751995589,51376.72860909178
