scenario,day_key,day,case,axis,variation,vre_share,vre_scale_factor,vre_share_annual,vre_share_day,vpl_mwh,vpl_mode,dc_flex,window_scale,reserve_from_flex,load_mwh,solver,mip_gap,time_milp_s,time_lp_s,objective_milp,cost_total,cost_fuel,cost_startup,cost_shutdown,cost_curtail_penalty,cost_migration,cost_degradation,cost_other,vre_available_mwh,vre_dispatched_mwh,curtailment_mwh,curtailment_pct,startups_total,startups_coal,startups_ng,startups_nuclear,startups_oil,frus_mean_mw,frds_mean_mw,frus_system_mean_mw,frds_system_mean_mw,pmin_mwh,pmin_unit_hours,online_unit_hours,corridor_limit_mw,corridor_flow_mean_mw,corridor_flow_max_mw,corridor_congested_hours,corridor_utilization,lmp_up_mean,lmp_down_mean,lmp_spread_mean,lmp_spread_max,lmp_spread_congested_mean,vpl_virtual_capacity_mw,vpl_virtual_mwh,vpl_cycles_up,vpl_cycles_down,vpl_throughput_mwh,vpl_hours_vtl,vpl_hours_arbitrage,vdc_energy_it_mwh,vdc_energy_elec_mwh,vdc_spatial_shift_mwh,vdc_spatial_shift_pct,vdc_temporal_shift_mwh,vdc_temporal_shift_pct,vdc_mean_delay_h,vdc_completion_min,vdc_site_cap_violation_mw,co2_t,co2_t_coal,co2_t_ng,co2_t_nuclear,co2_t_oil,gen_mwh_csp,gen_mwh_coal,gen_mwh_gas_cc,gen_mwh_gas_ct,gen_mwh_hydro,gen_mwh_nuclear,gen_mwh_oil_ct,gen_mwh_oil_st,gen_mwh_solar_pv,gen_mwh_solar_rtpv,gen_mwh_wind
solar_ramp__C__vre70,solar_ramp,2020-01-14,C,vre_share,vre70,0.7,1.7515,0.7,1.1926,800.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0001854164425461,7.0,1.2,1265622.8243723866,1265622.8243723875,1088670.568842601,174048.81456,0.0,-6677.529804916566,9580.970774701773,0.0,1.164153218269348e-09,130783.2592755148,66775.29804916565,64007.96122634916,48.942014123922895,9.0,0.0,7.0,0.0,2.0,63.820112901425375,28.82827419534882,1154.080374967442,521.3112916992244,25802.0,295,434,500.0,363.504724334664,500.0,12,0.8352764497918068,12.116605440975071,19.30180411897601,7.185198678000941,28.49872159551561,14.67612560040034,0.0,0.0,0.0,0.0,0.0,,,3181.266655479626,4135.646652123515,541.5372188150507,17.022691822525182,1725.5331407833874,54.24044343504541,3.514987536246532,1.0,0.0,34379.08169052431,29479.706784433536,4880.387617545496,0.0,18.98728854528,1806.483665362343,29209.1555948819,12847.471294831235,121.0,2581.6,9535.844111068249,24.0,0.0,9466.500242978696,4176.071909220172,51326.24223160444
solar_ramp__C__w05,solar_ramp,2020-01-14,C,window_scale,w05,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,0.5,False,116866.075339,gurobi,0.0,6.8,1.3,1366323.2480248755,1366323.2480248744,1167937.3605002095,196378.514154,0.0,-6189.533293980914,8196.906664646918,0.0,-1.164153218269348e-09,93416.61376822488,61895.33293980914,31521.280828415744,33.742692607787,8.0,0.0,7.0,0.0,1.0,63.08890167795484,31.730467691414525,1167.1446810421646,587.0136522911688,24030.0,283,444,500.0,303.8293548933059,500.0,10,0.7485486572978219,13.101163654187111,19.33150919159576,6.230345537408639,24.03714046338612,15.54078915092604,0.0,0.0,0.0,0.0,0.0,,,1962.3666912806675,2551.076698664868,472.9506065132471,24.101031097536264,1010.450949396268,51.49144417737919,1.9374339117888308,1.0,1.4210854715202004e-14,36464.79194236338,30897.827417150147,5560.635429031468,0.0,6.32909618176,1535.0832376147014,30610.34973113929,14837.977923848764,0.0,2581.6,9560.0,8.0,0.0,9420.826938685374,2581.001985421367,48358.4207780877
solar_ramp__C__w20,solar_ramp,2020-01-14,C,window_scale,w20,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,2.0,False,116866.075339,gurobi,0.0002034250632181,7.4,1.3,1360606.8629968695,1360606.862996866,1164541.730628576,196326.767154,0.0,-6348.556980462484,6086.922194756406,0.0,-3.958120942115784e-09,93416.61376822488,63485.56980462484,29931.043963600045,32.04038634697431,7.0,0.0,7.0,0.0,0.0,63.4027739986028,31.603546543157915,1170.30953672421,583.3487966091233,23960.0,281,443,500.0,340.8065001016702,500.0,10,0.8018929921709497,11.286213257122869,17.508969454251087,6.22275619712822,28.408579035984133,15.764402616732136,0.0,0.0,0.0,0.0,0.0,,,3114.7460676438577,4049.169887937015,363.86084503941447,11.681878302029808,1812.3947285213576,58.18755972914156,4.279887163022911,1.0,1.4210854715202004e-14,36448.44678253865,30932.837425587044,5515.609356951607,0.0,0.0,1146.780677681374,30640.619816024024,14719.751302594932,0.0,2581.6,9560.0,0.0,0.0,9446.307615746677,2779.315832604665,50113.16567859212
solar_ramp__D__base,solar_ramp,2020-01-14,D,base,base,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.000349854110335,11.2,1.8,1291547.1460116669,1291547.146011665,1116379.1307871048,168331.833132,0.0,-6574.186624688165,9803.50811540348,3606.860601847324,-2.561137080192566e-09,93416.61376822488,65741.86624688163,27674.747521343244,29.6250810268148,7.0,0.0,6.0,0.0,1.0,61.89219594254961,33.708283673757336,1075.3769045017996,585.6814288315337,21984.0,259,417,500.0,333.2619083783912,500.0,11,0.7682963649086838,11.65703534450082,19.815873382966547,8.15883803846573,26.325650113143794,18.16613881166048,20.37017491261521,224.0719240387673,1.1198334304252884,1.1344544457292889,1803.430300923662,,,3181.266655479623,4135.646652123511,574.8228395119751,18.06899269263903,1772.7197585507572,55.72370852651752,3.561791194497013,1.0,1.4210854715202004e-14,35400.17209605474,30396.629609056108,4990.760627312225,0.0,12.7818596864,1561.0170794931662,30225.162174982222,13259.192116974586,0.0,2581.6,9564.0,16.0,0.0,9572.32267194326,5237.932231182489,49370.59426426273
solar_ramp__D__dedicated,solar_ramp,2020-01-14,D,vpl_mode,dedicated,0.5,1.2511,0.5,0.8518,800.0,dedicated,0.5,1.0,False,116866.075339,gurobi,0.0004496584996801,17.6,3.0,1321978.3835396864,1321978.3835396846,1151179.0637171958,168797.556132,0.0,-6459.263365327875,5785.899942653849,2675.1271131668623,-4.190951585769653e-09,93416.61376822488,64592.633653278746,28823.98011494613,30.85530394674876,16.0,0.0,6.0,0.0,10.0,59.33886735269647,31.571309638453982,1117.5486684757834,594.5929981908833,22958.0,290,452,500.0,373.0448570766409,500.0,12,0.7492774892901544,16.833581940404112,20.827855677302058,3.9942737368979486,18.451717115607043,9.377596408900102,11.463629715285926,137.5635565834311,0.75,0.921954445729289,1337.5635565834311,20.0,0.0,3181.266655479624,4135.646652123511,398.435026663412,12.524414637707949,1765.868534741336,55.50834701956492,3.4151288897914664,1.0,1.4210854715202004e-14,36460.89445399576,31360.40686338795,4996.213394107331,0.0,104.27419650048,1326.7645857804584,31085.313800008906,13354.918156572294,0.0,2581.6,9560.0,128.0,0.0,9732.279505843053,4297.802484737818,49235.78707691742
solar_ramp__D__explicit,solar_ramp,2020-01-14,D,vpl_mode,explicit,0.5,1.2511,0.5,0.8518,800.0,explicit,0.5,1.0,False,116866.075339,gurobi,0.0001916030329335,12.5,1.4,1321600.688740236,1321600.688740232,1150981.877378366,168745.809132,0.0,-6459.324955469961,5636.748924191184,2695.578261147999,-3.026798367500305e-09,93416.61376822488,64593.24955469962,28823.364213525263,30.85464464066173,15.0,0.0,6.0,0.0,9.0,59.33623768093485,31.5739393102156,1117.4991429909396,594.642523675727,22896.0,289,452,500.0,359.0491833494746,500.0,12,0.7402507668700382,18.9974649899172,20.67637256722666,1.6789075773094593,18.45171711560705,4.384473286445679,11.463629715285926,137.5635565834311,0.7627819674882104,0.921954445729289,1347.7891305739995,9.0,13.0,3181.266655479624,4135.646652123512,389.33099880132727,12.238238442876767,1704.1227813080347,53.56742976489384,3.429238003966093,1.0,0.0,36458.00542011175,31359.55379298512,4994.611717750628,0.0,103.839909376,1469.495672944172,31085.00431829718,13356.416249920272,0.0,2581.6,9560.0,128.0,0.0,9186.874313034345,3815.285082610036,50121.59448611106
solar_ramp__D__f02,solar_ramp,2020-01-14,D,dc_flex,f02,0.5,1.2511,0.5,0.8518,800.0,emergent,0.2,1.0,False,121186.075339,gurobi,0.0004702411075428,5.8,1.2,1330636.942182122,1330636.9421821178,1162568.1639877274,168590.568132,0.0,-6587.882662696078,2413.2664478720453,3652.826277218057,-3.725290298461914e-09,93416.61376822488,65878.82662696077,27537.78714126412,29.478468583316324,12.0,0.0,6.0,0.0,6.0,58.595095597021015,33.0984456056516,1096.2165801276014,619.216753205732,22376.0,281,449,500.0,363.0639007852008,500.0,12,0.7657687888520358,10.821408391204258,18.47351704833026,7.652108657126007,24.033220690873364,15.350793716886193,23.14493899320075,277.739267918409,1.1485619775319964,1.1344544457292889,1826.413138609028,,,1272.5066634316668,1654.2586624611672,141.81972492866203,11.144910200014658,698.1875780346968,54.86710585482048,3.600525876947793,1.0,0.0,36969.434805131525,31820.52509441125,5078.061398159629,0.0,70.84831256064,1650.162419219659,31521.669521188905,13601.53255574866,0.0,2581.6,9560.0,88.0,0.0,9685.56489724262,5174.608852148178,49368.49045835031
solar_ramp__D__f08,solar_ramp,2020-01-14,D,dc_flex,f08,0.5,1.2511,0.5,0.8518,800.0,emergent,0.8,1.0,False,112546.075339,gurobi,0.0001164719891609,7.2,1.3,1252687.841486666,1252687.841486663,1097276.957367881,140750.87511000002,0.0,-6484.235113849673,17616.047918128705,3528.196204505707,-2.561137080192566e-09,93416.61376822488,64842.351138496735,28574.26262972816,30.5879880217276,15.0,0.0,5.0,0.0,10.0,58.75649249946823,30.698462455486723,1086.9951112401625,567.9215554265044,22564.0,290,444,500.0,307.45276337484233,500.0,11,0.7747989020216668,13.094256749296248,20.160864477364168,7.0666077280679245,26.54482052758157,16.196379458619077,15.454545454545457,170.0,1.0706681820867778,1.1344544457292889,1764.0981022528536,,,5090.026646999983,6617.034641099978,1052.745989926411,20.68252413858953,2670.1958907476333,52.45936958545047,3.4516733808181854,1.0,0.0,35452.23153886385,30975.75888259833,4372.391218221366,0.0,104.08143804416,1239.8162468749451,30690.19784993884,11753.91948029726,0.0,2581.6,9556.0,128.0,0.0,10131.305846516694,5813.912584725715,47657.31646037937
solar_ramp__D__hist,solar_ramp,2020-01-14,D,history,hist,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0004118773537654,6.7,1.3,1259333.674091626,1259333.6740916232,1059460.7710338177,196533.755154,0.0,-6808.661522280912,6727.881042892124,3419.9283831968023,-2.3283064365386963e-09,93416.61376822488,68086.61522280911,25329.99854541576,27.11508962234683,11.0,0.0,7.0,0.0,4.0,54.02576875298766,40.81879646440365,828.3951208791441,625.8882124541893,19576.0,210,368,500.0,349.6526452727767,500.0,12,0.7896443010743945,11.42895849949312,19.034195536923832,7.605237037430714,23.947699603928825,15.694608405944868,21.762111252406587,261.14533502887906,1.061023570711903,1.0764316687860989,1709.9641915984012,,,3181.2666554796224,4135.64665212351,397.0942370760716,12.482268230866168,1730.838187346871,54.40720237536713,3.5517487386414177,1.0,0.0,32468.511882782583,27319.076542674808,5123.561000933381,0.0,25.8743391744,1650.162419219659,27408.38858134318,13710.928517557362,0.0,2581.6,9548.0,32.0,0.0,10907.033867370315,5563.78374377997,49965.63519243918
solar_ramp__D__mig05,solar_ramp,2020-01-14,D,migration_cost,mig05,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0004073470328021,8.6,1.3,1285325.5035402863,1285325.5035402847,1112846.396681613,168280.086132,0.0,-6584.532873778168,7152.162482506182,3631.3911179462575,-2.561137080192566e-09,93416.61376822488,65845.32873778169,27571.2850304432,29.51432718258239,6.0,0.0,6.0,0.0,0.0,62.339011767011925,33.66436172696398,1077.9454118045812,582.1129215287523,21968.0,257,415,500.0,334.745893999723,500.0,11,0.7705594715015951,10.863157378972229,18.79540433998724,7.932246961015013,25.589264898193328,17.246169163726552,25.71929410364908,282.91223514013984,1.135165002987122,1.1344544457292889,1815.6955589731288,,,3181.266655479624,4135.6466521235125,792.4547096874967,24.91003727469749,1596.8866579065873,50.19656730617046,3.387776201261835,1.0,0.0,35273.380764830166,30266.356374057243,5007.024390772924,0.0,0.0,1650.162419219659,30093.16176454402,13305.548352146036,0.0,2581.6,9564.0,0.0,0.0,9870.888019419186,4793.62597031338,49530.652328829456
solar_ramp__D__mig20,solar_ramp,2020-01-14,D,migration_cost,mig20,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,116866.075339,gurobi,0.0003409593245648,9.8,1.4,1296093.6363225377,1296093.6363225337,1128551.1781392472,168435.327132,0.0,-6524.057048194963,2138.327336449044,3492.86076303594,-3.2596290111541752e-09,93416.61376822488,65240.57048194963,28176.043286275257,30.161704807864893,9.0,0.0,6.0,0.0,3.0,60.59965285666902,34.80082561223051,1055.4439539203188,606.1143794130147,21500.0,253,418,500.0,355.2185902163892,500.0,15,0.8092774066649027,14.50553070034718,23.194094805141173,8.68856410479399,29.071772813936427,14.163946347358568,21.84183277758269,327.62749166374044,1.0235036123177872,1.1595343645796756,1746.43038151797,,,3181.266655479624,4135.646652123512,124.79988456133044,3.922962080099978,1759.7253421360278,55.315241779715656,3.511619067449014,1.0,1.4210854715202004e-14,35835.35617991621,30790.662110949248,5025.644946760252,0.0,19.04912220672,1380.1410749723475,30621.794071684453,13352.951034227895,0.0,2581.6,9564.0,24.0,0.0,9360.449080502118,4242.991505522635,50256.98882095253
solar_ramp__D__reson,solar_ramp,2020-01-14,D,reserve_from_flex,reson,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,True,116866.075339,gurobi,0.0004983900513386,28.3,1.3,1287730.530419443,1287730.5304194377,1130219.5625949246,151977.849966,0.0,-6541.013230395318,8514.101671862643,3560.029417050405,-4.6566128730773926e-09,93416.61376822488,65410.13230395319,28006.481464271703,29.980193388039453,15.0,0.0,7.0,0.0,8.0,56.17978814166749,32.70243408055473,1053.3710276562654,613.1706390104013,21986.0,288,450,500.0,309.2479660550071,500.0,12,0.7841789708090828,10.443552086176176,17.506642823937938,7.063090737761766,25.45973542303796,14.84581424327727,17.70922546566548,212.5107055879857,1.090563939927214,1.1344544457292889,1780.0147085252024,,,3181.2666554796224,4135.64665212351,504.7213510762824,15.865421095930994,1685.1543502891625,52.97117572293232,3.6054476884403552,1.0,0.0,36273.73482031435,31497.32269531352,4678.737292939392,0.0,97.67483206144,1503.2137967494195,31202.90700337167,12340.631517695156,176.5568151828029,2581.6,9560.0,120.0,0.0,10079.969102999512,4963.7093542814455,48863.2400499228
